event_id,event_name,event_type_description,event_type_main,organizers,region_name,city_name,city_id,venue_id,venue_name,venue_address
530421,306c353c-6731-4016-8ceb-1efda0816ef1,фестиваль,концерты,№1108,Североярская область,Озёрск,2,2793,"Фонд поддержки культуры ""Химера"" и партнеры","алл. Первомайская, д. 61"
530954,c52f0d56-f0ed-4f30-ac20-c0268ec71795,событие,другое,№854,Озернинский край,Родниковецк,240,2528,"Центр по изучению культуры ""Чакра"" Лимитед","бул. Весенний, д. 6/1"
583878,6e959890-482f-46f7-ab51-78140840dd6f,событие,другое,№1909,Малиновая область,Сарыжар,16,2309,"Молодежный культурный проект ""Angle"" Лимитед","бул. Ушакова, д. 9 стр. 389"
567609,9af7b44d-dff7-45e5-a03a-8121cbc52cc5,спектакль,театр,№3547,Широковская область,Луговаярово,970,3251,"Детский дом культуры ""Сводка"" и партнеры","пр. Таежный, д. 95 к. 9"
355168,2f9f70de-00d1-456d-8f1e-58e9367158c5,событие,другое,№4566,Заречная область,Дальнесветин,48,1884,"Школа композиции ""Объединение"" Инкорпорэйтед","пер. Победа, д. 697 к. 78"
443613,5a355bc6-5373-44d5-9f83-df21396b0f6e,шоу,стендап,№1564,Чистогорская область,Песчанская,21,1937,"Академия прикладного искусства ""Fusion"" Инк","бул. Рылеева, д. 33 стр. 930"
383010,a266457a-da36-4b0f-b507-f32d3683e871,событие,другое,№3595,Светополянский округ,Поленосвет,20233,2846,"Училище искусств ""Эмоция"" Лтд","наб. Брянская, д. 589 стр. 605"
562005,66736f46-911f-4623-a3a5-e4c966d093f5,событие,другое,№4455,Североярская область,Озёрск,2,948,"Школа композиции ""Заметка"" Групп","пер. Олимпийский, д. 86 к. 6/6"
561383,6de83ac5-eb7c-456d-8104-2170c87f68da,спектакль,театр,№5019,Каменевский регион,Глиногорск,213,3900,"Цирковая студия ""Солнце"" и партнеры","алл. Тупиковая, д. 29"
560606,53420ace-3611-45c7-91f2-cdfa314a0880,событие,другое,№3879,Зеленоградский округ,Шаныртау,24,3246,"Картинная галерея ""Изюминка"" Лтд","бул. Омский, д. 30 стр. 251"
540227,f458cd56-0b8d-486e-81c1-1f3e0c387d5c,концерт,концерты,№1878,Каменевский регион,Глиногорск,213,3139,"Школа кино ""Туман"" Групп","ул. Портовая, д. 6 стр. 5/7"
519658,088601cd-0717-4e40-8fc1-27a6562451e7,событие,другое,№3182,Травяная область,Серебровино,10859,4628,"Кинотеатр ""Mirage"" Лтд","наб. Пограничная, д. 739 стр. 7"
460332,2853d18d-2d59-42bd-9e1a-ea25c236ba63,событие,другое,№3569,Солнечноземская область,Глинополье,56,3878,"Студия дизайна ""Ритмы"" и партнеры","пер. 8 Марта, д. 492 стр. 479"
403817,a103c19d-b76b-4dc7-b26c-1b450a8e293d,концерт,концерты,№2951,Каменевский регион,Глиногорск,213,1266,"Этнографический музей ""Птица"" Групп","пер. Моховой, д. 8/4 стр. 9"
127928,77bd0313-046b-4054-ba22-8b9e94679025,спектакль,театр,№3568,Солнечноземская область,Глинополье,56,2936,"Гильдия художников ""Приключения"" Инк","наб. 9 мая, д. 3"
540186,c5b249e7-8e81-44ca-aa88-aa2a7538df82,концерт,концерты,№2275,Широковская область,Вишнёво,10990,1768,"Театр ""Задор"" Инкорпорэйтед","пер. Боровой, д. 1 стр. 75"
250658,25690508-c58a-4105-983a-adf86bb001f4,спектакль,театр,№1637,Поленовский край,Дальнозолотск,18,3159,"Клуб начинающих писателей ""Таблицы"" Групп","ул. О.Кошевого, д. 7"
531419,a7c7b188-b451-4dad-826a-9b5e36491dcf,спектакль,театр,№2280,Светополянский округ,Глиноград,54,2136,"Театр документального кино ""Дизайнер"" Лтд","бул. 50 лет Победы, д. 881"
498054,b5349251-08b2-42d9-9b3c-38598d9196ab,событие,другое,№2688,Каменевский регион,Глиногорск,213,1366,"Академия искусств ""Идея"" Инк","пер. Болотный, д. 524 стр. 8"
173690,8dcf79c9-e615-4e8d-80bb-632401fb7e46,событие,другое,№5089,Озернинский край,Лесоярич,51,3681,"Арт-фестиваль ""Ритмы"" Групп","наб. Водников, д. 8 к. 3"
230202,92643c5c-8ccb-42c0-8818-222552af6880,событие,другое,№5114,Травяная область,Вишнёвогорск,20139,3512,"Выставочный центр ""Окно"" и партнеры","ш. Володарского, д. 4/6 к. 18"
538455,0c1a6a3a-a2b9-4e85-b7e9-9ac8ecd2daf9,событие,другое,№1753,Каменноярский край,Поленовино,146,3727,"Библиотека ""Капелла"" Инк","бул. Хвойный, д. 987"
528804,7e4e3a8d-0e50-4ceb-bd92-30db44464748,фестиваль,концерты,№1185,Светополянский округ,Глиноград,54,1332,"Арт-фестиваль ""Гардероб"" и партнеры","алл. Энтузиастов, д. 3/9"
269938,54862486-79cc-450b-a945-810969090566,спектакль,театр,№4400,Каменевский регион,Радужинск,10734,1119,"Школа музыкального театра ""Гардероб"" и партнеры","наб. Леваневского, д. 5/5"
531732,fd4507e4-678e-4783-95aa-5f12f61a0b3c,концерт,концерты,№1907,Золотоключевской край,Поляногорье,23,3285,"Дизайнерская мастерская ""Полуостров"" Инк","бул. Щетинкина, д. 39 к. 6"
536366,ef7e11fe-18a7-4cd1-b4b7-57b883018346,концерт,концерты,№948,Североярская область,Озёрск,2,2439,"Центр ремёсел ""Область"" Инкорпорэйтед","бул. Донской, д. 78"
489164,93d5d086-1332-455c-a99f-155f14e1c736,концерт,концерты,№4379,Каменевский регион,Глиногорск,213,1374,"Театр ""Модуль"" Инкорпорэйтед","ш. Нахимова, д. 1/7"
568768,7103e305-c172-454b-b5be-8fd21e1d6f2b,спектакль,театр,№3696,Берестовский округ,Поленоозёрово,9,2286,"Клуб киноманов ""Пила"" Инк","пр. Радужный, д. 5/2 к. 706"
538494,780d7a70-9c5c-4941-bbb5-25f375ab8a88,событие,другое,№1395,Североярская область,Озёрск,2,1603,"Дворец культуры ""Отчет"" Инк","наб. Садовая, д. 9/6"
574155,3e0a4b27-e41a-477d-b95f-9ec910ce14a1,событие,другое,№5085,Солнечноземская область,Глинополье,56,2803,"Центр искусства и культуры ""Попугай"" и партнеры","бул. Воровского, д. 917 к. 2"
255568,aea45e99-77f7-4897-8059-97a1c8ccee52,спектакль,театр,№1902,Горицветская область,Лугоград,11076,2625,"Клуб писателей ""Общие"" Групп","пр. Ермака, д. 5 к. 70"
505978,b069998a-b573-465b-88b3-964c3c6b6cc8,концерт,концерты,№2535,Горицветская область,Островецк,50,2001,"Совет искусства ""Долина"" Инк","пр. Социалистический, д. 4 стр. 706"
554507,37253517-1c8d-48f7-9591-f0c1353654ea,спортивное мероприятие,спорт,№3868,Медовская область,Радужсвет,47,2157,"Студия дизайна ""Платформа"" Инкорпорэйтед","наб. Магистральная, д. 5"
523737,28619417-5060-4a45-bc56-c37c271bd5d6,концерт,концерты,№3013,Озернопольская область,Чистогорье,198,1284,"Музыкальная школа ""Краски"" Лимитед","бул. Котовского, д. 993"
559605,663db00a-acc0-4042-814b-2004e2ef0167,концерт,концерты,№4669,Североозёрский округ,Островополь,11067,2986,"Дом культуры ""Мечта"" Групп","бул. Ворошилова, д. 54 стр. 4"
11218,d3ee0339-fe24-4619-9718-9582414a9a81,спектакль,театр,№4902,Североярская область,Озёрск,2,3538,"Научный центр ""Птица"" Лимитед","ш. Отрадное, д. 406"
537656,63c6207a-ba94-4b7b-bf82-46349b32610d,фестиваль,концерты,№2733,Травяная область,Родниковск,22,1497,"Клуб рок-музыки ""Атолл"" Инкорпорэйтед","бул. Пугачева, д. 2"
22733,c91c3d7e-bcf2-43cc-be7c-dda864aecfa3,спектакль,театр,№3900,Солнечноземская область,Глинополье,56,2552,"Молодежная творческая группа ""Год"" Лтд","пер. Ватутина, д. 4 стр. 78"
257614,577d1d41-2cbd-4b9a-ab91-adb6bf78a246,спектакль,театр,№2403,Каменевский регион,Глиногорск,213,1008,"Кинофестиваль ""Пункт"" и партнеры","пр. Торговый, д. 70 к. 9/4"
507248,70acc2d6-0297-4eaf-ae55-f5357cbc611c,событие,другое,№5089,Озернинский край,Лесоярич,51,4067,"Музыкальная школа ""Магнит"" и партнеры","ш. Звездное, д. 707 к. 2"
276225,699f8ca2-d79f-4fab-ad3b-ad668ab2a4ab,событие,выставки,№4462,Каменевский регион,Глиногорск,213,1611,"Клуб настольных игр ""Солнечный"" Групп","наб. Строительная, д. 229 стр. 98"
301646,68d13f0c-9148-48bd-bb46-c73331f14996,концерт,концерты,№915,Североярская область,Озёрск,2,2052,"Совет искусства ""Способы"" Инк","наб. О.Кошевого, д. 15 к. 8/8"
573919,deeee672-68e7-453b-ac18-79566c36545b,событие,другое,№1919,Малиновая область,Сарыжар,16,2652,"Магазин искусства ""Echo"" Инк","наб. Нагорная, д. 8/1 стр. 2/3"
11987,5c1c82c5-4fea-47d8-986d-fa947658e93b,спектакль,театр,№2837,Яблоневская область,Светополье,39,3939,"Этнографический музей ""Магнит"" Групп","наб. Полярная, д. 874"
281696,d71c8b5d-8beb-46b3-aad2-259489d7f718,концерт,концерты,№4018,Медовская область,Радужсвет,47,4277,"Дом-музей ""Восход"" и партнеры","пр. Карла Либкнехта, д. 91 стр. 8"
559688,117fc6de-f000-4339-a950-80559079800a,событие,другое,№3595,Светополянский округ,Поленосвет,20233,2548,"Творческое агентство ""Взлет"" Групп","ш. Окружное, д. 53"
378104,0701cc2f-5be0-466c-80b5-8ef2cbd43f8f,событие,другое,№3272,Каменевский регион,Глиногорск,213,3248,"Летний кинотеатр ""Листья"" Лимитед","ул. Красноармейская, д. 411"
33410,ca7f2fd2-dbd6-4c6e-9b7c-30106e02d51e,спектакль,театр,№2372,Североярская область,Озёрск,2,2073,"Киновидеостудия ""Ремесло"" Инкорпорэйтед","алл. Южная, д. 61"
397474,3dea2e40-2c08-49f9-93c7-ff907228e999,событие,выставки,№2355,Североярская область,Озёрск,2,3859,"Исторический центр ""Заметка"" Инк","ш. Ульяновское, д. 5 стр. 9"
348840,ab9e47a2-76d5-4184-94ae-0c4b730c2c6a,событие,другое,№1381,Североярская область,Озёрск,2,3488,"Школа живописи ""Датчик"" Инк","пер. Шоссейный, д. 3/8 к. 171"
201151,bc262d17-e006-4426-8421-b0a12f869b28,спектакль,театр,№1536,Североярская область,Озёрск,2,4057,"Клуб настольных игр ""Свет"" Инкорпорэйтед","пер. Кузнечный, д. 270 к. 753"
295132,d7356366-8ed4-4e13-893f-f9f62bc82b4a,спектакль,театр,№1940,Ключеводский округ,Акбасты,42,3653,"Клуб рок-музыки ""Ремесло"" Инк","алл. Портовая, д. 28 к. 5"
195615,e8be1dad-9ab2-4fcb-a2c0-2a405b19759b,событие,другое,№1494,Каменевский регион,Глиногорск,213,1614,"Культурный центр ""Общие"" Групп","ул. Владимирская, д. 87 стр. 4"
236736,0c55c0c0-d0ba-4032-a57e-4ddf35423652,событие,другое,№2038,Каменевский регион,Глиногорск,213,1607,"Дебютный проект ""Sound"" Инк","пер. Сельский, д. 74 стр. 49"
568703,17ee5ddb-aba9-4e1f-a03d-478750ae2af9,концерт,концерты,№837,Каменевский регион,Глиногорск,213,899,"Комикс-студия ""Точка"" Лтд","алл. Васильковая, д. 2"
222284,77c5dd26-1557-4102-b863-e19755153da0,балет,театр,№834,Озернинский край,Родниковецк,240,1429,"Молодежный клуб ""Долина"" Групп","пр. Осенний, д. 5/8 к. 6/1"
430367,e126c36a-8a1f-4c7e-8423-65bb1fdb4b88,событие,другое,№2434,Шанырский регион,Широковка,162,2402,"Спортивный клуб ""Институт"" Лимитед","ш. Высоковольтное, д. 26 к. 11"
541618,47856ba7-4b92-4cbd-967c-93a5545cc128,концерт,концерты,№2842,Каменевский регион,Глиногорск,213,2574,"Арт-студия ""Формула"" и партнеры","ул. Рылеева, д. 3/7 к. 9"
569400,8a275564-973f-4dd3-96c8-a167da305411,концерт,концерты,№1907,Золотоключевской край,Поляногорье,23,3285,"Дизайнерская мастерская ""Полуостров"" Инк","бул. Щетинкина, д. 39 к. 6"
549525,00f695e2-adb0-42c7-aecb-bc24161b8e89,концерт,концерты,№4878,Североярская область,Озёрск,2,2051,"Мастерская графического дизайна ""Дизайн"" Лимитед","ш. Шахтерское, д. 805 к. 516"
521983,e5334127-a60f-4743-ae06-0e75b596002c,концерт,концерты,№1659,Каменевский регион,Глиногорск,213,3602,"Театр поэзии ""Планета"" Лимитед","ш. Сибирское, д. 65"
12370,10e12b56-16ec-45d4-96d7-115c250e97c4,спектакль,театр,№3909,Солнечноземская область,Глинополье,56,3975,"Кабинет Искусств ""История"" и партнеры","пр. Гайдара, д. 4 к. 7/1"
220547,10ed042a-2ff5-4d20-9023-31cbc2166f07,спектакль,театр,№3030,Широковская область,Радужнополье,35,1951,"Совет искусства ""Шар"" и партнеры","наб. Монтажников, д. 5/5 стр. 7/5"
571110,c25ec27b-88fb-4182-8662-207af2f145cd,ёлка,ёлки,№3518,Светополянский округ,Глиноград,54,2622,"Библиотека ""График"" и партнеры","пер. Нагорный, д. 1"
565772,1328f049-407f-4221-b5da-f0d4bc5d3fcf,событие,другое,№4754,Малиновая область,Сарыжар,16,2127,"Образовательная программа ""Лебедь"" Групп","пер. Новосельский, д. 25 стр. 18"
328137,b1c7f690-3bc4-496d-a745-98ab513f63ea,событие,другое,№3377,Широковская область,Ягодиновка,239,1582,"Кинокомпания ""Тандем"" Групп","пер. 50 лет Победы, д. 310"
565341,2be03480-2dc8-4e65-8181-2572f788067e,событие,другое,№5027,Травяная область,Родниковск,22,2355,"Театр молодежи ""Забавный"" Групп","пр. Фрунзе, д. 454 стр. 160"
530766,d3e62e13-344e-454a-b31a-cf9a62812f16,событие,другое,№2011,Малиновая область,Сарыжар,16,988,"Студия искусства ""Пробуждение"" Лтд","ш. Проточное, д. 8 к. 820"
544670,c0b080c7-7d4f-4082-9c29-ba25b78ba065,концерт,концерты,№1242,Каменевский регион,Глиногорск,213,2398,"Арт-пространство ""Canvas"" Групп","ш. Новосельское, д. 5/9 стр. 8/1"
530898,bb7536ef-096c-47ac-9237-9a744aeff4cf,событие,другое,№3365,Каменевский регион,Глиногорск,213,3556,"Мастерская живого действия ""Ритм"" Инкорпорэйтед","пер. Запрудный, д. 4/4 стр. 4"
187786,c82522b9-98eb-44f5-b638-623e78451ad9,спектакль,театр,№5076,Светополянский округ,Глиноград,54,2325,"Мастерская по изготовлению украшений ""Лавка"" и партнеры","ул. Плеханова, д. 303 стр. 9/4"
565672,57a7b419-d820-4302-b855-448f5accee7f,спектакль,театр,№1691,Травяная область,Родниковск,22,2355,"Театр молодежи ""Забавный"" Групп","пр. Фрунзе, д. 454 стр. 160"
202675,3730d8d8-535b-48ad-a724-ba4856391f45,событие,другое,№1494,Каменевский регион,Глиногорск,213,1614,"Культурный центр ""Общие"" Групп","ул. Владимирская, д. 87 стр. 4"
397621,9beb5f74-afa1-4edc-b32b-1a3fd47328df,событие,другое,№3083,Североярская область,Озёрск,2,2046,"Магазин искусства ""Перспектива"" Групп","пр. Олимпийский, д. 540"
544430,bf0602ae-7acd-43e3-a60b-ceb78d9afa8f,событие,другое,№3529,Серебринская область,Озёрчане,62,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
531084,06c0b57f-296a-4531-beb4-3736137aed0f,событие,другое,№4259,Североярская область,Озёрск,2,3706,"Площадка для танцев ""Дизайнер"" Инкорпорэйтед","пр. Щетинкина, д. 3"
509137,6115478a-08f0-493e-abe9-f70521f89b86,концерт,концерты,№4239,Каменевский регион,Глиногорск,213,4096,"Детский дом культуры ""Легенда"" Лимитед","алл. Невского, д. 796"
350801,d40506fc-050d-4203-8ee6-62a789cd7d96,балет,театр,№1715,Широковская область,Радужнополье,35,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
568076,a23062e4-56b7-4ed0-88ab-be764d7ad4b4,концерт,концерты,№2092,Каменевский регион,Глиногорск,213,3053,"Академия искусства ""Заметка"" Инкорпорэйтед","ул. Рабочая, д. 2 стр. 847"
411011,d2bd25a7-68cc-4c53-92c2-f94a3ab18484,шоу,стендап,№2605,Каменевский регион,Глиногорск,213,2229,"Академия прикладного искусства ""Panorama"" Лтд","алл. Щербакова, д. 28 стр. 177"
153273,8402e6a9-e3e2-4873-a2ef-92ad77d896e4,спектакль,театр,№4838,Каменевский регион,Глиногорск,213,3470,"Клуб киноманов ""Верность"" Лтд","пр. Титова, д. 5 стр. 68"
246290,531d4b31-fe24-4f51-9d87-48e1cf02b8ed,концерт,концерты,№4987,Речиновская область,Дальнесветск,65,1592,"Литературный клуб ""Общие"" и партнеры","бул. Максима Горького, д. 6"
433978,b8b63b7f-f39a-49d6-98fc-54c4432d2132,спектакль,театр,№2772,Белоярская область,Акбастау,45,2910,"Школа кино ""Навигация"" Лимитед","алл. Механическая, д. 88"
253481,25690508-c58a-4105-983a-adf86bb001f4,опера,театр,№1637,Поленовский край,Дальнозолотск,18,3159,"Клуб начинающих писателей ""Таблицы"" Групп","ул. О.Кошевого, д. 7"
11503,edb2d0b7-6d95-4411-a336-990d1df2dd8c,мюзикл,театр,№1775,Каменевский регион,Глиногорск,213,3041,"Фестиваль уличного искусства ""Стиль"" и партнеры","пер. Водников, д. 115"
476602,e061b94a-621c-4a24-bad3-73743d3da135,спектакль,театр,№1843,Каменевский регион,Глиногорск,213,3651,"Архитектурное бюро ""Легенда"" Лтд","алл. Иванова, д. 9"
533197,dd742dc8-a7aa-4a2a-a0c0-3c4f5c1efc7a,событие,другое,№2177,Малиновая область,Сарыжар,16,3637,"Ретро-театр ""Салон"" Групп","ш. Таманское, д. 472"
435203,c5a275d0-ed69-4734-a6d8-6ccd2f314c64,событие,другое,№4658,Североярская область,Озёрск,2,1127,"Арт-фестиваль ""Магнит"" Инк","ш. Школьное, д. 6"
522255,01e3f52f-cde5-4efc-b0fc-a9c1d50ed1c5,концерт,концерты,№3411,Широковская область,Ягодиновка,239,2420,"Фольклорный театр ""Хороший"" Инкорпорэйтед","пер. Никитина, д. 58 к. 489"
563488,9274b19e-d4eb-4ce1-b97a-2f61ab27876d,событие,другое,№2867,Каменевский регион,Глиногорск,213,1365,"Картинная галерея ""Светлячок"" Лтд","ул. Дальневосточная, д. 97 к. 1/4"
525863,1a06c924-1e7a-4e83-b431-51c5f0adb590,концерт,концерты,№3886,Дальнезорский край,Рощино,195,4197,"Студия танца ""Полет"" и партнеры","алл. Кавказская, д. 724 стр. 6"
278500,ed0244c6-1796-466a-b08e-3a3b7ea3db1c,мюзикл,театр,№1745,Лесодальний край,Родниковец,55,4154,"Образовательная программа ""Мозаика"" Инкорпорэйтед","алл. Большевистская, д. 869"
537416,cc15d737-f002-4ef5-9e5a-a79cd7d079fc,событие,другое,№4870,Чистогорская область,Леснойск,968,2805,"Центр культурного наследия ""Заряд"" и партнеры","ш. Пугачева, д. 9/7 к. 39"
548599,ab9199d3-da87-4262-a817-d04f4ea784e6,концерт,концерты,№1745,Лесодальний край,Родниковец,55,4230,"Фестивальный проект ""Листья"" Групп","пер. Проезжий, д. 9"
11789,bf2be882-4247-4224-b4f8-29725afda757,спектакль,театр,№856,Озернинский край,Лесоярич,51,4230,"Фестивальный проект ""Листья"" Групп","пер. Проезжий, д. 9"
307133,44ab62d6-3a18-4f0d-b1c5-3e478f11eb7c,спортивное мероприятие,спорт,№1542,Каменевский регион,Глиногорск,213,3569,"Группа по городскому искусству ""Лунарий"" Лтд","пер. Жданова, д. 6/9 к. 1"
412876,7227af72-9f40-41ec-b92c-33aaa04e477e,спектакль,театр,№1708,Ягодиновская область,Речинцево,194,3989,"Школа композиции ""Арабеска"" Инкорпорэйтед","ш. Колхозное, д. 4/9 к. 690"
431887,33b7c188-2760-44dd-a66b-7f652d1f7672,событие,другое,№2257,Североярская область,Озёрск,2,1452,"Эстрадный театр ""Сказка"" Инк","пер. Культуры, д. 532"
64122,300add4e-2277-44c7-aa00-5003e4b3a16d,спектакль,театр,№2945,Травяная область,Родниковск,22,4629,"Группа арт-менеджеров ""Таблетка"" Инкорпорэйтед","наб. Шевченко, д. 867 стр. 2"
519260,be4cdb8a-f418-4476-8728-353a86ecfeaa,событие,другое,№3083,Североярская область,Озёрск,2,2046,"Магазин искусства ""Перспектива"" Групп","пр. Олимпийский, д. 540"
76846,3bc6ac3a-205c-4cc5-afe5-98b6bf3bf272,спектакль,театр,№3835,Медовская область,Радужсвет,47,2411,"Клуб начинающих писателей ""Мечтатель"" Инкорпорэйтед","алл. Водопроводная, д. 27 стр. 4"
311766,6a9aae29-36ef-4d01-b717-90b4bfbb1338,событие,другое,№1738,Яблоневская область,Светополье,39,3939,"Этнографический музей ""Магнит"" Групп","наб. Полярная, д. 874"
558410,d8285827-cef5-4d6d-a627-5f3c20ac9cde,концерт,концерты,№3042,Каменевский регион,Глиногорск,213,1490,"Театр для детей ""Гармония"" Лимитед","алл. Ленинская, д. 966"
565274,0da3c874-3c0f-416a-a18c-3481897afa8a,концерт,концерты,№909,Каменевский регион,Глиногорск,213,1825,"Клуб искусств ""Секрет"" Групп","бул. Пушкина, д. 27 к. 18"
258047,ff9a82a2-ab08-4ff5-b8f3-2be766e7abce,спортивное мероприятие,спорт,№4450,Каменевский регион,Глиногорск,213,1466,"Дворец художников ""Мгновение"" Групп","пр. Мелиораторов, д. 9"
534259,c43d7258-fd21-4077-bd28-f87b8f3e6e5a,концерт,концерты,№1755,Тепляковская область,Горнодолинск,43,1676,"Кабинет Искусств ""Восход"" Групп","алл. Поперечная, д. 6"
552322,141cc2fd-c694-48a8-8356-927b35e9a61f,спектакль,театр,№4667,Каменевский регион,Глиногорск,213,3963,"Клуб стендап-комедии ""Перфект"" Лимитед","наб. Камская, д. 42 стр. 65"
530101,01578f76-b669-4e2e-a9e1-84cdcfa2b382,концерт,концерты,№2225,Каменноозёрный край,Ордакент,12,1262,"Танцевальная школа ""Нота"" Лимитед","ул. Кленовая, д. 768 к. 97"
534981,01aadfd1-1a02-454c-a815-f82e255cb50e,спектакль,театр,№1858,Каменевский регион,Глиногорск,213,4017,"Студия анимации ""Точка"" Инкорпорэйтед","алл. Тамбовская, д. 7 к. 827"
459018,88dbe24a-1eef-4f08-91ff-cfce9e6d9a56,шоу,другое,№2368,Горицветская область,Островецк,50,2041,"Клуб киноманов ""Кактус"" Лимитед","бул. Таманский, д. 9/1 к. 31"
561943,b8375dd6-e8c6-4c50-87e7-9d791fd4b116,спектакль,театр,№3643,Серебринская область,Лугиново,11302,1768,"Театр ""Задор"" Инкорпорэйтед","пер. Боровой, д. 1 стр. 75"
327720,939507bd-23ec-4307-b6a5-8247921f86f6,спортивное мероприятие,спорт,№4131,Каменевский регион,Глиногорск,213,4363,"Студия дизайна ""Лестница"" Лимитед","наб. Школьная, д. 9/8 стр. 7/5"
553399,38084a21-33dc-452d-b735-56b38ebdab92,концерт,концерты,№4623,Светополянский округ,Глиноград,54,3696,"Ретро-театр ""Тайна"" Лтд","наб. Строительная, д. 5 стр. 863"
534386,e1e937b0-a229-490b-b57f-4ef9630d5288,концерт,концерты,№858,Озернинский край,Лесоярич,51,4230,"Фестивальный проект ""Листья"" Групп","пер. Проезжий, д. 9"
551605,41b597ff-e07c-4d0f-a99d-7dfb78080004,концерт,концерты,№2543,Каменевский регион,Глиногорск,213,4331,"Санкт-Петербургский дом культуры ""Апрель"" Лимитед","алл. Черемушки, д. 8 стр. 9"
582267,c114ba36-f0da-47f6-bad7-8878313a4a08,спектакль,театр,№4494,Каменевский регион,Мироярово,10761,2376,"Сценический центр ""Хранитель"" и партнеры","ул. Механическая, д. 4 стр. 9/7"
544353,7e87c8b0-f3f7-40f6-bd1b-fab910f9757b,концерт,концерты,№2712,Широковская область,Вишнёво,10990,1768,"Театр ""Задор"" Инкорпорэйтед","пер. Боровой, д. 1 стр. 75"
560232,083a2070-41c2-4156-a5c1-d4710bcbc2f3,спорт,спорт,№4288,Североярская область,Озёрск,2,2525,"Креативное пространство ""Лабиринт"" Лтд","наб. Речная, д. 186 к. 429"
546171,bcc3f3e0-2579-4a5e-adbe-efb9815ec957,концерт,концерты,№3436,Дальнеземская область,Теплоозёрск,15,987,"Студия видеомонтажа ""Алхимия"" Инкорпорэйтед","пер. Фрунзе, д. 97 к. 109"
295270,90d15d5a-5e1d-47dc-99ed-2dc8f516c8ad,спектакль,театр,№4400,Каменевский регион,Радужинск,10734,1119,"Школа музыкального театра ""Гардероб"" и партнеры","наб. Леваневского, д. 5/5"
538143,f55f3ab7-c505-43f2-b9fe-af7a5d0735ae,фестиваль,концерты,№4815,Каменевский регион,Глиногорск,213,3666,"Креативный инкубатор ""Палитра"" Лимитед","бул. Ленинский, д. 95 стр. 78"
530212,90409b8c-b592-4aff-9a6d-611881a5ecf7,событие,выставки,№2793,Широковская область,Горнополец,1107,2988,"Картинная галерея ""Трапеция"" Инкорпорэйтед","бул. Севастопольский, д. 1/1"
548710,ad9446e8-b265-4e1e-9cf0-fa2516b392a1,событие,другое,№3335,Боровлянский край,Ключевополье,976,2068,"Культурный центр ""Zen"" Инк","ш. Мостовое, д. 374 стр. 5"
570207,66944327-0c0f-4a49-8e34-66985f683519,спорт,спорт,№1409,Каменноозёрный край,Ордакент,12,4607,"Команда артистов ""Светлячок"" Лимитед","пер. Невского, д. 72"
